"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"21","Carolina Hurricanes","65","3164.75","41","18","6","36","88","0.677","3649","2467","59.66","2600","1849","58.44","1639","1217","57.39","148","123","54.61","164.94","131.12","55.71","1695","1247","57.61","834","697","54.47","130","114","53.28","15.59","83.64","698","564","55.31","434","343","55.86","71","64","52.59","16.36","81.34","997","683","59.35","400","354","53.05","59","50","54.13","14.75","85.88","2231","1364","62.06","753","439","63.17","18","9","66.67","2.39","97.95","9.03","89.89","0.989"
"22","Minnesota Wild","66","3234.65","38","16","12","34","88","0.667","3057","3392","47.40","2231","2425","47.92","1437","1573","47.74","132","120","52.38","145.29","145.71","49.93","1488","1590","48.34","754","801","48.49","106","102","50.96","14.06","87.27","610","649","48.45","373","403","48.07","67","66","50.38","17.96","83.62","878","941","48.27","381","398","48.91","39","36","52.00","10.24","90.95","1692","2073","44.94","607","700","46.44","26","18","59.09","4.28","97.43","9.19","92.37","1.016"
"23","St Louis Blues","65","3203.3667","26","29","10","25","62","0.477","2735","3020","47.52","1976","2188","47.45","1308","1422","47.91","122","144","45.86","128.54","138.99","48.05","1331","1369","49.30","701","700","50.04","102","114","47.22","14.55","83.71","549","588","48.28","341","362","48.51","51","76","40.16","14.96","79.01","782","781","50.03","360","338","51.58","51","38","57.30","14.17","88.76","1577","1826","46.34","550","645","46.03","20","30","40.00","3.64","95.35","9.33","89.87","0.992"
"24","Columbus Blue Jackets","65","3214.1333","33","21","11","28","77","0.592","3266","3177","50.69","2326","2297","50.31","1532","1477","50.91","144","135","51.61","150.83","143.52","51.24","1526","1441","51.43","787","756","51.00","116","109","51.56","14.74","85.58","622","589","51.36","374","370","50.27","65","57","53.28","17.38","84.59","904","852","51.48","413","386","51.69","51","52","49.51","12.35","86.53","1899","1914","49.80","661","648","50.50","28","25","52.83","4.24","96.14","9.40","90.86","1.003"
"25","Nashville Predators","65","3128.4","29","27","9","26","67","0.515","3067","2909","51.32","2161","2196","49.60","1396","1471","48.69","119","148","44.57","144.04","136.3","51.38","1438","1340","51.76","742","756","49.53","98","121","44.75","13.21","83.99","647","558","53.69","396","371","51.63","69","78","46.94","17.42","78.98","791","782","50.29","346","385","47.33","29","43","40.28","8.38","88.83","1764","1805","49.43","592","658","47.36","21","27","43.75","3.55","95.90","8.52","89.94","0.985"
"26","Dallas Stars","65","3137.7333","41","14","10","37","92","0.708","2606","2863","47.65","1863","2003","48.19","1277","1309","49.38","141","109","56.40","136.88","128.08","51.66","1327","1313","50.27","713","644","52.54","120","96","55.56","16.83","85.09","601","528","53.23","388","330","54.04","75","53","58.59","19.33","83.94","726","785","48.05","325","314","50.86","45","43","51.14","13.85","86.31","1504","1695","47.01","519","604","46.22","21","13","61.76","4.05","97.85","11.04","91.67","1.027"
"27","Winnipeg Jets","64","3129.1","26","28","10","25","62","0.484","2812","2952","48.79","2033","2160","48.49","1302","1416","47.90","125","129","49.21","129.98","140.57","48.04","1342","1412","48.73","655","724","47.50","101","111","47.64","15.42","84.67","572","610","48.39","329","361","47.68","63","68","48.09","19.15","81.16","770","802","48.98","326","363","47.31","38","43","46.91","11.66","88.15","1706","1693","50.19","582","632","47.94","24","18","57.14","4.12","97.15","9.60","90.89","1.005"
"28","Utah Mammoth","66","3202.9667","34","26","6","34","74","0.561","3190","2820","53.08","2261","2001","53.05","1442","1299","52.61","146","125","53.87","151.77","133.73","53.16","1484","1370","52.00","776","673","53.55","115","110","51.11","14.82","83.66","670","584","53.43","422","343","55.16","68","63","51.91","16.11","81.63","814","786","50.88","354","330","51.75","47","47","50.00","13.28","85.76","1852","1602","53.62","599","545","52.36","31","15","67.39","5.18","97.25","10.12","90.38","1.005"
"29","Vancouver Canucks","65","3150.8667","20","37","8","15","48","0.369","2836","3165","47.26","2073","2333","47.05","1279","1502","45.99","106","151","41.25","129.94","151.78","46.12","1310","1539","45.98","646","806","44.49","93","131","41.52","14.40","83.75","567","673","45.73","335","435","43.51","55","76","41.98","16.42","82.53","743","866","46.18","311","371","45.60","38","55","40.86","12.22","85.18","1687","1840","47.83","563","641","46.76","13","20","39.39","2.31","96.88","8.29","89.95","0.982"
"30","San Jose Sharks","63","2993.9","31","26","6","29","68","0.540","2533","3036","45.48","1781","2192","44.83","1209","1464","45.23","125","144","46.47","118.08","142.82","45.26","1274","1414","47.40","685","752","47.67","108","117","48.00","15.77","84.44","556","621","47.24","375","391","48.96","73","68","51.77","19.47","82.61","718","793","47.52","310","361","46.20","35","49","41.67","11.29","86.43","1355","1837","42.45","459","645","41.58","17","27","38.64","3.70","95.81","10.34","90.16","1.005"
"31","Anaheim Ducks","65","3099.3667","36","26","3","28","75","0.577","3310","3074","51.85","2401","2227","51.88","1503","1432","51.21","139","150","48.10","151.8","149.75","50.34","1516","1546","49.51","742","782","48.69","115","123","48.32","15.50","84.27","641","652","49.57","363","401","47.51","65","72","47.45","17.91","82.04","875","894","49.46","379","381","49.87","50","51","49.50","13.19","86.61","1872","1742","51.80","702","578","54.84","24","27","47.06","3.42","95.33","9.25","89.53","0.988"
"32","Seattle Kraken","64","3160.25","29","26","9","28","67","0.523","2712","3289","45.19","1965","2350","45.54","1253","1494","45.61","115","115","50.00","118.73","147.68","44.57","1196","1434","45.48","617","712","46.43","91","89","50.56","14.75","87.50","480","647","42.59","296","359","45.19","57","57","50.00","19.26","84.12","716","787","47.64","321","353","47.63","34","32","51.52","10.59","90.93","1660","1995","45.42","581","718","44.73","24","26","48.00","4.13","96.38","9.18","92.30","1.015"
